"","time to initation (days)","freq","relative_freq"
"1","0",22227,0.543248197482586
"2","1",4716,0.115263350849322
"3","2",2103,0.0513992423316632
"4","3",1699,0.0415251130392277
"5","4",1507,0.0368324575339118
"6","5",1356,0.0331418795062935
"7","6",1340,0.0327508248808505
"8","7",1445,0.0353171208603202
"9","8",981,0.0239765367224734
"10","9",688,0.0168153488940486
"11","10",565,0.0138091164609556
"12","11",563,0.0137602346327753
"13","12",519,0.012684834412807
"14","13",538,0.0131492117805206
"15","14",668,0.0163265306122449
